category,group,name,name,default,shortDesc,longDesc,type,max,min,units,decimalPlaces,values,rebootRequired,bitmask,volatile,increment
Standard,UAVCAN Motor Parameters,mot_num_poles,MOT_NUM_POLES,14,Number of motor poles.,"Number of motor poles. Used to convert mechanical speeds to
electrical speeds. This number should be taken from the motor’s
specification sheet.",Int32,40,2,,,,FALSE,,FALSE,
Standard,UAVCAN Motor Parameters,mot_rs,MOT_RS,0,READ ONLY: Motor resistance in ohms,"READ ONLY: Motor resistance in ohms. This is measured on start-up. When
tuning a new motor, check that this value is approximately equal
to the value shown in the motor’s specification sheet.",Float,,,Ohm,3,,FALSE,,FALSE,
Standard,UAVCAN Motor Parameters,mot_v_accel,MOT_V_ACCEL,0.5,Acceleration limit (V),Acceleration limit (V),Float,1,0.01,V,3,,FALSE,,FALSE,
Standard,UAVCAN Motor Parameters,mot_v_max,MOT_V_MAX,14.8,Motor voltage limit in volts,"Motor voltage limit in volts. The current controller’s
commanded voltage will never exceed this value. Note that this may
safely be above the nominal voltage of the motor; to determine the
actual motor voltage limit, divide the motor’s rated power by the
motor current limit.",Float,,0,V,3,,FALSE,,FALSE,
Standard,UAVCAN GNSS,gnss.dyn_model,GNSS.DYN_MODEL,2,GNSS dynamic model,"Dynamic model used in the GNSS positioning engine. 0 –
Automotive, 1 – Sea, 2 – Airborne.",Int32,2,0,,,"[{'description': 'Automotive', 'value': 0}, {'description': 'Sea', 'value': 1}, {'description': 'Airborne', 'value': 2}]",FALSE,,FALSE,
Standard,UAVCAN GNSS,gnss.old_fix_msg,GNSS.OLD_FIX_MSG,1,Broadcast old GNSS fix message,"Broadcast the old (deprecated) GNSS fix message
uavcan.equipment.gnss.Fix alongside the new alternative
uavcan.equipment.gnss.Fix2. It is recommended to
disable this feature to reduce the CAN bus traffic.",Int32,1,0,,,"[{'description': 'Fix2', 'value': 0}, {'description': 'Fix and Fix2', 'value': 1}]",FALSE,,FALSE,
Standard,UAVCAN GNSS,gnss.warn_dimens,GNSS.WARN_DIMENS,0,device health warning,"Set the device health to Warning if the dimensionality of
the GNSS solution is less than this value. 3 for the full (3D)
solution, 2 for planar (2D) solution, 1 for time-only solution,
0 disables the feature.",Int32,3,0,,,"[{'description': 'disables the feature', 'value': 0}, {'description': 'time-only solution', 'value': 1}, {'description': 'planar (2D) solution', 'value': 2}, {'description': 'full (3D) solution', 'value': 3}]",FALSE,,FALSE,
Standard,UAVCAN GNSS,gnss.warn_sats,GNSS.WARN_SATS,0,,"Set the device health to Warning if the number of satellites
used in the GNSS solution is below this threshold. Zero
disables the feature",Int32,,,,,,FALSE,,FALSE,
Standard,UAVCAN GNSS,uavcan.pubp-pres,UAVCAN.PUBP-PRES,0,,"Set the device health to Warning if the number of satellites
used in the GNSS solution is below this threshold. Zero
disables the feature",Int32,1000000,0,us,,,FALSE,,FALSE,
Standard,ADSB,ADSB_CALLSIGN_1,ADSB_CALLSIGN_1,0,First 4 characters of CALLSIGN,"Sets first 4 characters of a total of 8. Valid characters are A-Z, 0-9, "" "". Example ""PX4 "" -> 1347957792 For CALLSIGN shorter than 8 characters use the null terminator at the end '\0'.",Int32,,,,,,TRUE,,FALSE,
Standard,ADSB,ADSB_CALLSIGN_2,ADSB_CALLSIGN_2,0,Second 4 characters of CALLSIGN,"Sets second 4 characters of a total of 8. Valid characters are A-Z, 0-9, "" "" only. Example ""TEST"" -> 1413829460 For CALLSIGN shorter than 8 characters use the null terminator at the end '\0'.",Int32,,,,,,TRUE,,FALSE,
Standard,ADSB,ADSB_EMERGC,ADSB_EMERGC,0,ADSB-Out Emergency State,Sets the vehicle emergency state,Int32,6,0,,,"[{'description': 'NoEmergency', 'value': 0}, {'description': 'General', 'value': 1}, {'description': 'Medical', 'value': 2}, {'description': 'LowFuel', 'value': 3}, {'description': 'NoCommunications', 'value': 4}, {'description': 'Interference', 'value': 5}, {'description': 'Downed', 'value': 6}]",TRUE,,FALSE,
Standard,ADSB,ADSB_EMIT_TYPE,ADSB_EMIT_TYPE,14,ADSB-Out Vehicle Emitter Type,Configure the emitter type of the vehicle.,Int32,15,0,,,"[{'description': 'Unknown', 'value': 0}, {'description': 'Light', 'value': 1}, {'description': 'Small', 'value': 2}, {'description': 'Large', 'value': 3}, {'description': 'HighVortex', 'value': 4}, {'description': 'Heavy', 'value': 5}, {'description': 'Performance', 'value': 6}, {'description': 'Rotorcraft', 'value': 7}, {'description': 'RESERVED', 'value': 8}, {'description': 'Glider', 'value': 9}, {'description': 'LightAir', 'value': 10}, {'description': 'Parachute', 'value': 11}, {'description': 'UltraLight', 'value': 12}, {'description': 'RESERVED', 'value': 13}, {'description': 'UAV', 'value': 14}, {'description': 'Space', 'value': 15}, {'description': 'RESERVED', 'value': 16}, {'description': 'EmergencySurf', 'value': 17}, {'description': 'ServiceSurf', 'value': 18}, {'description': 'PointObstacle', 'value': 19}]",TRUE,,FALSE,
Standard,ADSB,ADSB_GPS_OFF_LAT,ADSB_GPS_OFF_LAT,0,ADSB-Out GPS Offset lat,Sets GPS lataral offset encoding,Int32,7,0,,,"[{'description': 'NoData', 'value': 0}, {'description': 'LatLeft2M', 'value': 1}, {'description': 'LatLeft4M', 'value': 2}, {'description': 'LatLeft6M', 'value': 3}, {'description': 'LatRight0M', 'value': 4}, {'description': 'LatRight2M', 'value': 5}, {'description': 'LatRight4M', 'value': 6}, {'description': 'LatRight6M', 'value': 7}]",TRUE,,FALSE,
Standard,ADSB,ADSB_GPS_OFF_LON,ADSB_GPS_OFF_LON,0,ADSB-Out GPS Offset lon,Sets GPS longitudinal offset encoding,Int32,1,0,,,"[{'description': 'NoData', 'value': 0}, {'description': 'AppliedBySensor', 'value': 1}]",TRUE,,FALSE,
Standard,ADSB,ADSB_ICAO_ID,ADSB_ICAO_ID,1194684,ADSB-Out ICAO configuration,Defines the ICAO ID of the vehicle,Int32,16777215,-1,,,,TRUE,,FALSE,
Standard,ADSB,ADSB_ICAO_SPECL,ADSB_ICAO_SPECL,0,ADSB-In Special ICAO configuration,This vehicle is always tracked. Use 0 to disable.,Int32,16777215,0,,,,TRUE,,FALSE,
Standard,ADSB,ADSB_IDENT,ADSB_IDENT,0,ADSB-Out Ident Configuration,Enable Identification of Position feature,Int32,,,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Enabled', 'value': 1}]",TRUE,,FALSE,
Standard,ADSB,ADSB_LEN_WIDTH,ADSB_LEN_WIDTH,1,ADSB-Out Vehicle Size Configuration,"Report the length and width of the vehicle in meters. In most cases, use '1' for the smallest vehicle size.",Int32,15,0,,,"[{'description': 'SizeUnknown', 'value': 0}, {'description': 'Len15_Wid23', 'value': 1}, {'description': 'Len25_Wid28', 'value': 2}, {'description': 'Len25_Wid34', 'value': 3}, {'description': 'Len35_Wid33', 'value': 4}, {'description': 'Len35_Wid38', 'value': 5}, {'description': 'Len45_Wid39', 'value': 6}, {'description': 'Len45_Wid45', 'value': 7}, {'description': 'Len55_Wid45', 'value': 8}, {'description': 'Len55_Wid52', 'value': 9}, {'description': 'Len65_Wid59', 'value': 10}, {'description': 'Len65_Wid67', 'value': 11}, {'description': 'Len75_Wid72', 'value': 12}, {'description': 'Len75_Wid80', 'value': 13}, {'description': 'Len85_Wid80', 'value': 14}, {'description': 'Len85_Wid90', 'value': 15}]",TRUE,,FALSE,
Standard,ADSB,ADSB_LIST_MAX,ADSB_LIST_MAX,25,ADSB-In Vehicle List Size,Change number of targets to track,Int32,50,0,,,,TRUE,,FALSE,
Standard,ADSB,ADSB_MAX_SPEED,ADSB_MAX_SPEED,0,ADSB-Out Vehicle Max Speed,Informs ADSB vehicles of this vehicle's max speed capability,Int32,6,0,,,"[{'description': 'UnknownMaxSpeed', 'value': 0}, {'description': '75Kts', 'value': 1}, {'description': '150Kts', 'value': 2}, {'description': '300Kts', 'value': 3}, {'description': '600Kts', 'value': 4}, {'description': '1200Kts', 'value': 5}, {'description': 'Over1200Kts', 'value': 6}]",TRUE,,FALSE,
Standard,ADSB,ADSB_SQUAWK,ADSB_SQUAWK,1200,ADSB-Out squawk code configuration,This parameter defines the squawk code. Value should be between 0000 and 7777.,Int32,7777,0,,,,TRUE,,FALSE,
Standard,Actuator Outputs,PWM_MAIN_FUNC1,PWM_MAIN_FUNC1,0,SIM Channel 1 Output Function,Select what should be output on SIM Channel 1. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,Int32,,,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Constant Min', 'value': 1}, {'description': 'Constant Max', 'value': 2}, {'description': 'Motor 1', 'value': 101}, {'description': 'Motor 2', 'value': 102}, {'description': 'Motor 3', 'value': 103}, {'description': 'Motor 4', 'value': 104}, {'description': 'Motor 5', 'value': 105}, {'description': 'Motor 6', 'value': 106}, {'description': 'Motor 7', 'value': 107}, {'description': 'Motor 8', 'value': 108}, {'description': 'Motor 9', 'value': 109}, {'description': 'Motor 10', 'value': 110}, {'description': 'Motor 11', 'value': 111}, {'description': 'Motor 12', 'value': 112}, {'description': 'Servo 1', 'value': 201}, {'description': 'Servo 2', 'value': 202}, {'description': 'Servo 3', 'value': 203}, {'description': 'Servo 4', 'value': 204}, {'description': 'Servo 5', 'value': 205}, {'description': 'Servo 6', 'value': 206}, {'description': 'Servo 7', 'value': 207}, {'description': 'Servo 8', 'value': 208}, {'description': 'Peripheral via Actuator Set 1', 'value': 301}, {'description': 'Peripheral via Actuator Set 2', 'value': 302}, {'description': 'Peripheral via Actuator Set 3', 'value': 303}, {'description': 'Peripheral via Actuator Set 4', 'value': 304}, {'description': 'Peripheral via Actuator Set 5', 'value': 305}, {'description': 'Peripheral via Actuator Set 6', 'value': 306}, {'description': 'Landing Gear', 'value': 400}, {'description': 'Parachute', 'value': 401}, {'description': 'RC Roll', 'value': 402}, {'description': 'RC Pitch', 'value': 403}, {'description': 'RC Throttle', 'value': 404}, {'description': 'RC Yaw', 'value': 405}, {'description': 'RC Flaps', 'value': 406}, {'description': 'RC AUX 1', 'value': 407}, {'description': 'RC AUX 2', 'value': 408}, {'description': 'RC AUX 3', 'value': 409}, {'description': 'RC AUX 4', 'value': 410}, {'description': 'RC AUX 5', 'value': 411}, {'description': 'RC AUX 6', 'value': 412}, {'description': 'Gimbal Roll', 'value': 420}, {'description': 'Gimbal Pitch', 'value': 421}, {'description': 'Gimbal Yaw', 'value': 422}, {'description': 'Gripper', 'value': 430}, {'description': 'Landing Gear Wheel', 'value': 440}]",FALSE,,FALSE,
Standard,Actuator Outputs,PWM_MAIN_FUNC10,PWM_MAIN_FUNC10,0,SIM Channel 10 Output Function,Select what should be output on SIM Channel 10. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,Int32,,,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Constant Min', 'value': 1}, {'description': 'Constant Max', 'value': 2}, {'description': 'Motor 1', 'value': 101}, {'description': 'Motor 2', 'value': 102}, {'description': 'Motor 3', 'value': 103}, {'description': 'Motor 4', 'value': 104}, {'description': 'Motor 5', 'value': 105}, {'description': 'Motor 6', 'value': 106}, {'description': 'Motor 7', 'value': 107}, {'description': 'Motor 8', 'value': 108}, {'description': 'Motor 9', 'value': 109}, {'description': 'Motor 10', 'value': 110}, {'description': 'Motor 11', 'value': 111}, {'description': 'Motor 12', 'value': 112}, {'description': 'Servo 1', 'value': 201}, {'description': 'Servo 2', 'value': 202}, {'description': 'Servo 3', 'value': 203}, {'description': 'Servo 4', 'value': 204}, {'description': 'Servo 5', 'value': 205}, {'description': 'Servo 6', 'value': 206}, {'description': 'Servo 7', 'value': 207}, {'description': 'Servo 8', 'value': 208}, {'description': 'Peripheral via Actuator Set 1', 'value': 301}, {'description': 'Peripheral via Actuator Set 2', 'value': 302}, {'description': 'Peripheral via Actuator Set 3', 'value': 303}, {'description': 'Peripheral via Actuator Set 4', 'value': 304}, {'description': 'Peripheral via Actuator Set 5', 'value': 305}, {'description': 'Peripheral via Actuator Set 6', 'value': 306}, {'description': 'Landing Gear', 'value': 400}, {'description': 'Parachute', 'value': 401}, {'description': 'RC Roll', 'value': 402}, {'description': 'RC Pitch', 'value': 403}, {'description': 'RC Throttle', 'value': 404}, {'description': 'RC Yaw', 'value': 405}, {'description': 'RC Flaps', 'value': 406}, {'description': 'RC AUX 1', 'value': 407}, {'description': 'RC AUX 2', 'value': 408}, {'description': 'RC AUX 3', 'value': 409}, {'description': 'RC AUX 4', 'value': 410}, {'description': 'RC AUX 5', 'value': 411}, {'description': 'RC AUX 6', 'value': 412}, {'description': 'Gimbal Roll', 'value': 420}, {'description': 'Gimbal Pitch', 'value': 421}, {'description': 'Gimbal Yaw', 'value': 422}, {'description': 'Gripper', 'value': 430}, {'description': 'Landing Gear Wheel', 'value': 440}]",FALSE,,FALSE,
Standard,Actuator Outputs,PWM_MAIN_FUNC11,PWM_MAIN_FUNC11,0,SIM Channel 11 Output Function,Select what should be output on SIM Channel 11. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,Int32,,,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Constant Min', 'value': 1}, {'description': 'Constant Max', 'value': 2}, {'description': 'Motor 1', 'value': 101}, {'description': 'Motor 2', 'value': 102}, {'description': 'Motor 3', 'value': 103}, {'description': 'Motor 4', 'value': 104}, {'description': 'Motor 5', 'value': 105}, {'description': 'Motor 6', 'value': 106}, {'description': 'Motor 7', 'value': 107}, {'description': 'Motor 8', 'value': 108}, {'description': 'Motor 9', 'value': 109}, {'description': 'Motor 10', 'value': 110}, {'description': 'Motor 11', 'value': 111}, {'description': 'Motor 12', 'value': 112}, {'description': 'Servo 1', 'value': 201}, {'description': 'Servo 2', 'value': 202}, {'description': 'Servo 3', 'value': 203}, {'description': 'Servo 4', 'value': 204}, {'description': 'Servo 5', 'value': 205}, {'description': 'Servo 6', 'value': 206}, {'description': 'Servo 7', 'value': 207}, {'description': 'Servo 8', 'value': 208}, {'description': 'Peripheral via Actuator Set 1', 'value': 301}, {'description': 'Peripheral via Actuator Set 2', 'value': 302}, {'description': 'Peripheral via Actuator Set 3', 'value': 303}, {'description': 'Peripheral via Actuator Set 4', 'value': 304}, {'description': 'Peripheral via Actuator Set 5', 'value': 305}, {'description': 'Peripheral via Actuator Set 6', 'value': 306}, {'description': 'Landing Gear', 'value': 400}, {'description': 'Parachute', 'value': 401}, {'description': 'RC Roll', 'value': 402}, {'description': 'RC Pitch', 'value': 403}, {'description': 'RC Throttle', 'value': 404}, {'description': 'RC Yaw', 'value': 405}, {'description': 'RC Flaps', 'value': 406}, {'description': 'RC AUX 1', 'value': 407}, {'description': 'RC AUX 2', 'value': 408}, {'description': 'RC AUX 3', 'value': 409}, {'description': 'RC AUX 4', 'value': 410}, {'description': 'RC AUX 5', 'value': 411}, {'description': 'RC AUX 6', 'value': 412}, {'description': 'Gimbal Roll', 'value': 420}, {'description': 'Gimbal Pitch', 'value': 421}, {'description': 'Gimbal Yaw', 'value': 422}, {'description': 'Gripper', 'value': 430}, {'description': 'Landing Gear Wheel', 'value': 440}]",FALSE,,FALSE,
Standard,Actuator Outputs,PWM_MAIN_FUNC12,PWM_MAIN_FUNC12,0,SIM Channel 12 Output Function,Select what should be output on SIM Channel 12. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,Int32,,,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Constant Min', 'value': 1}, {'description': 'Constant Max', 'value': 2}, {'description': 'Motor 1', 'value': 101}, {'description': 'Motor 2', 'value': 102}, {'description': 'Motor 3', 'value': 103}, {'description': 'Motor 4', 'value': 104}, {'description': 'Motor 5', 'value': 105}, {'description': 'Motor 6', 'value': 106}, {'description': 'Motor 7', 'value': 107}, {'description': 'Motor 8', 'value': 108}, {'description': 'Motor 9', 'value': 109}, {'description': 'Motor 10', 'value': 110}, {'description': 'Motor 11', 'value': 111}, {'description': 'Motor 12', 'value': 112}, {'description': 'Servo 1', 'value': 201}, {'description': 'Servo 2', 'value': 202}, {'description': 'Servo 3', 'value': 203}, {'description': 'Servo 4', 'value': 204}, {'description': 'Servo 5', 'value': 205}, {'description': 'Servo 6', 'value': 206}, {'description': 'Servo 7', 'value': 207}, {'description': 'Servo 8', 'value': 208}, {'description': 'Peripheral via Actuator Set 1', 'value': 301}, {'description': 'Peripheral via Actuator Set 2', 'value': 302}, {'description': 'Peripheral via Actuator Set 3', 'value': 303}, {'description': 'Peripheral via Actuator Set 4', 'value': 304}, {'description': 'Peripheral via Actuator Set 5', 'value': 305}, {'description': 'Peripheral via Actuator Set 6', 'value': 306}, {'description': 'Landing Gear', 'value': 400}, {'description': 'Parachute', 'value': 401}, {'description': 'RC Roll', 'value': 402}, {'description': 'RC Pitch', 'value': 403}, {'description': 'RC Throttle', 'value': 404}, {'description': 'RC Yaw', 'value': 405}, {'description': 'RC Flaps', 'value': 406}, {'description': 'RC AUX 1', 'value': 407}, {'description': 'RC AUX 2', 'value': 408}, {'description': 'RC AUX 3', 'value': 409}, {'description': 'RC AUX 4', 'value': 410}, {'description': 'RC AUX 5', 'value': 411}, {'description': 'RC AUX 6', 'value': 412}, {'description': 'Gimbal Roll', 'value': 420}, {'description': 'Gimbal Pitch', 'value': 421}, {'description': 'Gimbal Yaw', 'value': 422}, {'description': 'Gripper', 'value': 430}, {'description': 'Landing Gear Wheel', 'value': 440}]",FALSE,,FALSE,
Standard,Actuator Outputs,PWM_MAIN_FUNC13,PWM_MAIN_FUNC13,0,SIM Channel 13 Output Function,Select what should be output on SIM Channel 13. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,Int32,,,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Constant Min', 'value': 1}, {'description': 'Constant Max', 'value': 2}, {'description': 'Motor 1', 'value': 101}, {'description': 'Motor 2', 'value': 102}, {'description': 'Motor 3', 'value': 103}, {'description': 'Motor 4', 'value': 104}, {'description': 'Motor 5', 'value': 105}, {'description': 'Motor 6', 'value': 106}, {'description': 'Motor 7', 'value': 107}, {'description': 'Motor 8', 'value': 108}, {'description': 'Motor 9', 'value': 109}, {'description': 'Motor 10', 'value': 110}, {'description': 'Motor 11', 'value': 111}, {'description': 'Motor 12', 'value': 112}, {'description': 'Servo 1', 'value': 201}, {'description': 'Servo 2', 'value': 202}, {'description': 'Servo 3', 'value': 203}, {'description': 'Servo 4', 'value': 204}, {'description': 'Servo 5', 'value': 205}, {'description': 'Servo 6', 'value': 206}, {'description': 'Servo 7', 'value': 207}, {'description': 'Servo 8', 'value': 208}, {'description': 'Peripheral via Actuator Set 1', 'value': 301}, {'description': 'Peripheral via Actuator Set 2', 'value': 302}, {'description': 'Peripheral via Actuator Set 3', 'value': 303}, {'description': 'Peripheral via Actuator Set 4', 'value': 304}, {'description': 'Peripheral via Actuator Set 5', 'value': 305}, {'description': 'Peripheral via Actuator Set 6', 'value': 306}, {'description': 'Landing Gear', 'value': 400}, {'description': 'Parachute', 'value': 401}, {'description': 'RC Roll', 'value': 402}, {'description': 'RC Pitch', 'value': 403}, {'description': 'RC Throttle', 'value': 404}, {'description': 'RC Yaw', 'value': 405}, {'description': 'RC Flaps', 'value': 406}, {'description': 'RC AUX 1', 'value': 407}, {'description': 'RC AUX 2', 'value': 408}, {'description': 'RC AUX 3', 'value': 409}, {'description': 'RC AUX 4', 'value': 410}, {'description': 'RC AUX 5', 'value': 411}, {'description': 'RC AUX 6', 'value': 412}, {'description': 'Gimbal Roll', 'value': 420}, {'description': 'Gimbal Pitch', 'value': 421}, {'description': 'Gimbal Yaw', 'value': 422}, {'description': 'Gripper', 'value': 430}, {'description': 'Landing Gear Wheel', 'value': 440}]",FALSE,,FALSE,
Standard,Actuator Outputs,PWM_MAIN_FUNC14,PWM_MAIN_FUNC14,0,SIM Channel 14 Output Function,Select what should be output on SIM Channel 14. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,Int32,,,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Constant Min', 'value': 1}, {'description': 'Constant Max', 'value': 2}, {'description': 'Motor 1', 'value': 101}, {'description': 'Motor 2', 'value': 102}, {'description': 'Motor 3', 'value': 103}, {'description': 'Motor 4', 'value': 104}, {'description': 'Motor 5', 'value': 105}, {'description': 'Motor 6', 'value': 106}, {'description': 'Motor 7', 'value': 107}, {'description': 'Motor 8', 'value': 108}, {'description': 'Motor 9', 'value': 109}, {'description': 'Motor 10', 'value': 110}, {'description': 'Motor 11', 'value': 111}, {'description': 'Motor 12', 'value': 112}, {'description': 'Servo 1', 'value': 201}, {'description': 'Servo 2', 'value': 202}, {'description': 'Servo 3', 'value': 203}, {'description': 'Servo 4', 'value': 204}, {'description': 'Servo 5', 'value': 205}, {'description': 'Servo 6', 'value': 206}, {'description': 'Servo 7', 'value': 207}, {'description': 'Servo 8', 'value': 208}, {'description': 'Peripheral via Actuator Set 1', 'value': 301}, {'description': 'Peripheral via Actuator Set 2', 'value': 302}, {'description': 'Peripheral via Actuator Set 3', 'value': 303}, {'description': 'Peripheral via Actuator Set 4', 'value': 304}, {'description': 'Peripheral via Actuator Set 5', 'value': 305}, {'description': 'Peripheral via Actuator Set 6', 'value': 306}, {'description': 'Landing Gear', 'value': 400}, {'description': 'Parachute', 'value': 401}, {'description': 'RC Roll', 'value': 402}, {'description': 'RC Pitch', 'value': 403}, {'description': 'RC Throttle', 'value': 404}, {'description': 'RC Yaw', 'value': 405}, {'description': 'RC Flaps', 'value': 406}, {'description': 'RC AUX 1', 'value': 407}, {'description': 'RC AUX 2', 'value': 408}, {'description': 'RC AUX 3', 'value': 409}, {'description': 'RC AUX 4', 'value': 410}, {'description': 'RC AUX 5', 'value': 411}, {'description': 'RC AUX 6', 'value': 412}, {'description': 'Gimbal Roll', 'value': 420}, {'description': 'Gimbal Pitch', 'value': 421}, {'description': 'Gimbal Yaw', 'value': 422}, {'description': 'Gripper', 'value': 430}, {'description': 'Landing Gear Wheel', 'value': 440}]",FALSE,,FALSE,
